Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-14,SBIN,EQ,272.45,274.0,276.15,272.35,274.25,274.2,274.69,31946501,877531744660000.0,200577,8886488,0.2782
2020-12-15,SBIN,EQ,274.2,274.05,274.05,268.15,270.55,270.65,270.4,34890948,943459924604999.9,207937,8591467,0.2462
2020-12-16,SBIN,EQ,270.65,272.8,273.65,268.5,269.35,269.4,270.58,24844177,672227626980000.0,150489,4406059,0.1773
2020-12-17,SBIN,EQ,269.4,270.0,272.15,266.7,267.35,267.7,269.19,25904699,697330984765000.0,146174,4320467,0.1668
2020-12-18,SBIN,EQ,267.7,267.7,271.95,265.0,271.35,271.45,268.3,29816205,799971768590000.0,159604,5872798,0.197
2020-12-21,SBIN,EQ,271.45,268.45,269.0,251.05,254.1,254.7,260.31,55160758,1435888477805000.0,311254,14528986,0.2634
2020-12-22,SBIN,EQ,254.7,254.8,258.7,248.25,257.15,257.45,254.2,51189571,1301228212680000.0,288750,10781372,0.21059999999999998
2020-12-23,SBIN,EQ,257.45,256.95,263.9,255.6,263.0,263.0,261.14,29056404,758791456890000.0,171296,4792004,0.1649
2020-12-24,SBIN,EQ,263.0,265.0,268.85,264.65,266.85,266.85,267.02,28585509,763282126260000.0,167695,6820426,0.2386
2020-12-28,SBIN,EQ,266.85,268.75,276.0,268.0,275.75,275.2,272.23,36870242,1003736670840000.0,203967,9995425,0.2711
2020-12-29,SBIN,EQ,275.2,276.3,279.9,274.7,277.75,277.9,277.56,45032526,1249925123365000.0,237470,12390520,0.2751
2020-12-30,SBIN,EQ,277.9,278.0,278.7,272.5,275.5,276.9,275.47,30971894,853168148245000.0,163939,6530230,0.2108
2020-12-31,SBIN,EQ,276.9,275.0,277.25,272.6,274.4,274.95,275.29,29467966,811216054195000.0,183603,8782576,0.298
2021-01-01,SBIN,EQ,274.95,274.9,280.0,274.4,279.05,279.4,278.33,24531791,682796825780000.0,141601,4783442,0.195
2021-01-04,SBIN,EQ,279.4,281.85,283.9,277.75,281.1,281.05,281.41,31450608,885046405845000.1,171760,6521226,0.2073
2021-01-05,SBIN,EQ,281.05,278.05,282.45,277.0,281.4,281.75,279.69,27393072,766157430375000.0,155149,4984903,0.182
2021-01-06,SBIN,EQ,281.75,283.0,289.15,281.4,283.9,285.05,285.76,40765708,1164907362810000.0,224327,6201351,0.1521
2021-01-07,SBIN,EQ,285.05,289.0,291.8,287.0,288.0,287.7,289.15,30546600,883250185510000.0,183684,8560453,0.2802
2021-01-08,SBIN,EQ,287.7,290.1,291.4,285.2,285.9,286.0,288.25,32543357,938050138885000.0,169736,7276745,0.2236
2021-01-11,SBIN,EQ,286.0,288.0,288.2,279.6,282.8,282.5,282.5,29703173,839102679705000.0,209864,8900394,0.29960000000000003
2021-01-12,SBIN,EQ,282.5,280.0,293.85,277.9,293.2,292.5,286.89,44307145,1271141918325000.0,275857,14782759,0.3336
2021-01-13,SBIN,EQ,292.5,296.0,308.0,294.5,305.95,306.8,301.17,78042133,2350397822325000.0,413038,15723571,0.20149999999999998
2021-01-14,SBIN,EQ,306.8,306.7,309.25,303.8,307.7,307.25,307.16,40123498,1232415007750000.0,244731,11711561,0.2919
2021-01-15,SBIN,EQ,307.25,306.8,310.9,301.3,303.95,303.85,306.2,35307601,1081133384195000.1,277615,7294222,0.2066
2021-01-18,SBIN,EQ,303.85,303.5,308.65,292.2,292.45,294.45,299.23,54969750,1644832641365000.0,332808,14155561,0.2575
2021-01-19,SBIN,EQ,294.45,297.65,302.5,296.4,298.4,298.6,299.11,35803901,1070924185254999.9,226098,10094694,0.28190000000000004
2021-01-20,SBIN,EQ,298.6,298.8,304.7,296.85,302.2,302.55,301.07,33759304,1016398189175000.0,215324,7439506,0.22039999999999998
2021-01-21,SBIN,EQ,302.55,304.0,305.15,291.5,296.8,294.85,300.2,29995203,900451307245000.1,214429,6169577,0.2057
2021-01-22,SBIN,EQ,294.85,295.5,298.0,282.4,284.4,283.7,289.3,44440810,1285667988075000.0,287829,12528656,0.28190000000000004
2021-01-25,SBIN,EQ,283.7,284.5,288.0,277.05,281.0,280.95,283.38,34034630,964482910075000.0,246225,6123604,0.17989999999999998
2021-01-27,SBIN,EQ,280.95,280.2,284.85,272.7,275.0,275.65,278.67,39211107,1092676934795000.1,275743,9156487,0.2335
2021-01-28,SBIN,EQ,275.65,271.9,283.35,269.5,282.9,282.35,277.04,48717297,1349667625260000.0,280797,11729218,0.2408
2021-01-29,SBIN,EQ,282.35,285.6,290.65,279.1,281.75,282.1,283.48,42300984,1199128259315000.0,257824,9905258,0.23420000000000002
2021-02-01,SBIN,EQ,282.1,285.1,313.9,282.75,313.0,310.7,300.59,103414068,3108566789260000.0,571788,29428379,0.2846
2021-02-02,SBIN,EQ,310.7,315.0,337.4,315.0,331.4,333.1,325.89,121434166,3957385592419999.5,696797,32088704,0.26420000000000005
2021-02-03,SBIN,EQ,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168,2219088273705000.0,464739,13550924,0.204
2021-02-04,SBIN,EQ,335.95,334.4,358.0,331.1,357.95,355.1,343.11,145203439,4982132498270000.0,799597,26685044,0.1838
2021-02-05,SBIN,EQ,355.1,387.0,408.35,385.15,395.0,393.1,397.71,214955688,8549082574114999.0,1155236,40372151,0.18780000000000002
2021-02-08,SBIN,EQ,393.1,398.0,407.8,394.75,395.85,397.05,400.46,79389205,3179194001235000.0,577218,17607498,0.2218
2021-02-09,SBIN,EQ,397.05,396.75,403.5,389.0,393.6,394.8,396.65,63869990,2533422619080000.0,473516,11998829,0.18789999999999998
2021-02-10,SBIN,EQ,394.8,394.05,397.9,388.0,393.15,392.25,392.67,54163507,2126823641955000.0,395057,11147782,0.20579999999999998
2021-02-11,SBIN,EQ,392.25,391.8,396.95,388.25,390.9,390.15,391.61,36392708,1425158115975000.0,263431,5317852,0.1461
2021-02-12,SBIN,EQ,390.15,391.0,399.35,385.55,392.95,393.15,392.34,53589755,2102515173534999.8,406441,7559236,0.1411
2021-02-15,SBIN,EQ,393.15,397.5,409.45,395.7,409.0,406.95,403.08,56608937,2281786664770000.0,439746,14664959,0.2591
2021-02-16,SBIN,EQ,406.95,412.0,415.75,400.3,402.9,402.35,407.39,80365431,3273985684250000.0,574557,17910995,0.2229
2021-02-17,SBIN,EQ,402.35,403.0,414.85,400.15,413.4,411.75,410.54,74161370,3044612968840000.0,499222,13131429,0.1771
2021-02-18,SBIN,EQ,411.75,425.05,427.7,413.7,415.25,415.2,419.02,67154539,2813882041800000.0,583049,15846238,0.23600000000000002
2021-02-19,SBIN,EQ,415.2,415.0,415.0,395.0,400.6,399.55,405.06,66155518,2679708279565000.0,479710,15537879,0.2349
2021-02-22,SBIN,EQ,399.55,400.6,401.0,385.65,387.95,389.5,392.32,52535049,2061033869455000.0,443311,12001053,0.2284
2021-02-23,SBIN,EQ,389.5,392.0,399.7,389.0,395.6,395.6,395.45,45462768,1797820266740000.2,342766,10717389,0.23570000000000002
